ticker,n_precios,n_retornos,desviacion_estandar_diaria,volatilidad_historica_anualizada,categoria_riesgo
CSPX,1814,1813,0.01126219,0.17878166,CONSERVADOR
VOO,1815,1814,0.01233972,0.19588700,CONSERVADOR
SPY,1815,1814,0.01235776,0.19617334,CONSERVADOR
EEM,1829,1828,0.01364695,0.21663867,CONSERVADOR
XLF,1815,1814,0.01461818,0.23205643,CONSERVADOR
QQQ,1823,1822,0.01462132,0.23210623,CONSERVADOR
EWW,1829,1828,0.01569978,0.24922630,MODERADO
XLK,1827,1826,0.01570489,0.24930736,MODERADO
GXG,1818,1817,0.01775137,0.28179426,MODERADO
ILF,1826,1825,0.01965703,0.31204568,MODERADO
BAP,1809,1808,0.02015983,0.32002746,MODERADO
XLE,1819,1818,0.02018061,0.32035726,MODERADO
ITUB,1831,1830,0.02372388,0.37660490,MODERADO
CIB,1826,1825,0.02429267,0.38563416,AGRESIVO
AVAL,1825,1824,0.02455570,0.38980969,AGRESIVO
VALE,1832,1831,0.02515025,0.39924784,AGRESIVO
EC,1817,1816,0.02951777,0.46858008,AGRESIVO
PBR,1820,1819,0.03252114,0.51625708,AGRESIVO
NU,1080,1079,0.03533389,0.56090811,AGRESIVO
GGAL,1832,1831,0.04286739,0.68049867,AGRESIVO
