ticker,total_ventanas_alza,frecuencia_alza_consecutiva,proporcion_alza_consecutiva,total_ventanas_reversion,frecuencia_reversion_v,proporcion_reversion_v
AVAL,1821,70,0.038440,1823,148,0.081185
BAP,1805,119,0.065928,1807,105,0.058107
CIB,1822,151,0.082876,1824,159,0.087171
CSPX,1810,160,0.088398,1812,63,0.034768
EC,1813,114,0.062879,1815,173,0.095317
EEM,1825,135,0.073973,1827,59,0.032293
EWW,1825,136,0.074521,1827,102,0.055829
GGAL,1828,118,0.064551,1830,245,0.133880
GXG,1814,179,0.098677,1816,71,0.039097
ILF,1822,121,0.066411,1824,109,0.059759
ITUB,1827,102,0.055829,1829,175,0.095681
NU,1076,74,0.068773,1078,129,0.119666
PBR,1816,134,0.073789,1818,169,0.092959
QQQ,1819,188,0.103353,1821,96,0.052718
SPY,1811,171,0.094423,1813,54,0.029785
VALE,1828,109,0.059628,1830,174,0.095082
VOO,1811,169,0.093319,1813,51,0.028130
XLE,1815,156,0.085950,1817,106,0.058338
XLF,1811,139,0.076753,1813,70,0.038610
XLK,1823,186,0.102030,1825,112,0.061370
